Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Act,Justification,Notes
Where Did I Come From?,2014-08-12,2014,P.U. (A) 234,Printed Documents,Peter Mayle,Tian Xia Magazine Co. Ltd.,Unclear,Innovation Graphic Arts Co. Ltd,"[""Chinese""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
The Meaning Of The Holy Qur'an For Kids,2014-08-12,2014,P.U. (A) 234,Printed Documents,Yahiya J. Emerick,Ifna Bookstore,Foreign,,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Metodologi Fiqih Islam Kontemporer,2014-08-12,2014,P.U. (A) 233,Printed Documents,Dr. Ir. Muhammad Shahrur,Penerbit Elsaq,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Ilmu Pengasihan Sejati,2014-09-22,2014,P.U. (A) 261,Printed Documents,S. Rahayu Wibowo,Penerbit Cv. Aneka (Anggota Ikapi),Local,Araya,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Ilmu Kharang Tinggi,2014-09-22,2014,P.U. (A) 261,Printed Documents,L.T. Prabowo,Penerbit Cv. Aneka (Anggota Ikapi),Local,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Aji Mantra Cinta Dan Peraih Cinta,2014-09-22,2014,P.U. (A) 261,Printed Documents,Fuad Kauma,Penerbit Cv. Aneka (Anggota Ikapi),Local,Aic-Offset-Solo,"[""Indonesian""]",Religious Doctrinal Deviance,Other,,,
Primbon Mujarobat Ketabiban Dalam Islam,2014-09-22,2014,P.U. (A) 261,Printed Documents,Ust. T.M Sanihiyyah Mz./ Ust. Labib Mz,Bintang Usaha Jaya,Local,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Kisah Paling Menarik Yang Pernah Diceritakan,2014-10-24,2014,P.U. (A) 283,Printed Documents,,Bibles Internatoinal Of Canada,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
In The Path Of God Islam And Political Power,2015-04-10,2015,P.U. (A) 72,Printed Documents,Daniel Pipes,Transaction Publishers,Foreign,,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Kepentingan Awam,
English Translation Of The Meanings Of The Holy Quran,2015-04-10,2015,P.U. (A) 73,Printed Documents,"The Message International- Usa, Saheeh International Uk, Dar Al Mountada-Saudi Arabia, Al-Qummah-Eygpt",The Massage International,Foreign,,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Kepentingan Awam,
Pagar Hikmah Himpunan Amalan Tok Janggut,2015-04-10,2015,P.U. (A) 75,Printed Documents,Haji Abdul Razak Bin Kasman (Tok Janggut),Pustaka Muda,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Dunia Hikmat,2015-04-10,2015,P.U. (A) 75,Printed Documents,Ali Zulfakar,Pustaka Muda,Local,Pustaka Muda,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Islam: Politik Dan Spiritual,2015-04-10,2015,P.U. (A) 71,Printed Documents,Hafidz Abdurrahman,Penerbit Lisan Ul-Haq,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Menggemparkan Fikiran Orang Ramai,
Amalan Hikmat & Rahsia Dari Al-Quran,2015-04-10,2015,P.U. (A) 75,Printed Documents,Ustaz Kurdi Ismail Hj. Za,Darul Nu'man,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Rahsia & Khasiat Huruf-Huruf Hijaiyah (Siri Perubatan Islam),2015-04-10,2015,P.U. (A) 74,Printed Documents,Abu Al Baqir Ad-Dusuki ( Ustaz Mohd Fadil Bin Ariffin),Al Baqir Enterprise,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,,,
The Golden Laws: History Through The Eyes Of The Eternal Buddha,2015-06-09,2015,P.U. (A) 116,Printed Documents,"Ryuho Okawa/ Lantern Books A Division Of Booklight Inc. Lantern Books A Division Of 128 Second Place Brooklyn, Ny 11231",Lantern Books,Foreign,,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Muhammad: A Story Of God's Messengger And The Revelation That Change The World,2015-06-09,2015,P.U. (A) 116,Printed Documents,Deepak Chopra,"Harpercollins Publishers,",Foreign,,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
55 Dongeng Teladan Untuk Anak Muslim,2015-06-09,2015,P.U. (A) 115,Printed Documents,Mb. Rahimsyah. Ar,Penerbit Putra Jaya Surabaya,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Sakit Apakah Ubatnya? Penelitian Daripada Al-Quran Dan Hadis,2015-06-09,2015,P.U. (A) 115,Printed Documents,Wan Md Jamal Bin Hj. Wan Md Saman,Wjsb Resources,Unclear,,"[""Malay""]",Religious Doctrinal Deviance,Other,,,
Misteri Aneh Dan Ganjil 2 Membongkar Kewujudan Makhluk Halus,2015-06-09,2015,P.U. (A) 115,Printed Documents,Abu Talhah Iqamuddin,Pustaka Al-Ehsan,Local,Power Press & Design (M) Sdn. Bhd.,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Misteri Aneh Dan Ganjil Bukti Keagungan Allah,2015-06-09,2015,P.U. (A) 115,Printed Documents,Abu Talhah Iqamuddin,Pustaka Al Ehsan,Local,Fourbass Prints Sdn. Bhd.,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Teacher's And Parent's Guide (Pre-School Level),2015-07-01,2015,P.U. (A) 141,Printed Documents,Institutes Department Of Curriculum Studies,Islamic Publications Limited For The Institute Of Ismaili Studies,Foreign,Newnorth Print Limited,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Mawlana Ali Peace Be On Him,2015-07-01,2015,P.U. (A) 141,Printed Documents,Institutes Department Of Curriculum Studies,Islamic Publications Limited For The Institute Of Ismaili Studies,Foreign,Newnorth Print Limited,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Mawlana Hazir Imam,2015-07-01,2015,P.U. (A) 141,Printed Documents,Institutes Department Of Curriculum Studies,Islamic Publications Limited For The Institute Of Ismaili Studies,Foreign,Newnorth Print Limited,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Ya Ali Madad,2015-07-01,2015,P.U. (A) 141,Printed Documents,Institutes Department Of Curriculum Studies,Islamic Publications Limited For The Institute Of Ismaili Studies,Foreign,Newnorth Print Limited,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Hadits Pilihan Shahih Bukhari,2015-08-17,2015,P.U. (A) 186,Printed Documents,Ust. Labib Mz,Bintang Usaha Jaya,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Menggemparkan Fikiran Orang Ramai,
Perukonan Romanise,2015-08-17,2015,P.U. (A) 184,Printed Documents,Norain H. Muhammad,H. Hashim Bin H. Abdullah,Unclear,Al Ahmadiah Press (Pte.) Ltd.,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Kepentingan Awam,
Siri Pahlawan Islam Bilal Bin Rabah,2015-08-17,2015,P.U. (A) 185,Printed Documents,Mohamad Fadhil Umar,Buku Prima Sdn. Bhd.,Local,Dasae Cetak(M) Sdn. Bhd.,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Menggemparkan Fikiran Orang Ramai,
Warisan Ilmu Tok Kenali Kelantan: Mengenal Diri,2015-11-03,2015,P.U. (A) 259,Printed Documents,Mohd Yusof Cik Wook,Tujuh Likur Enterprise,Local,Litmus Print,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Warisan Ilmu Tok Kenali Kelantan: Mati Sebelum Mati,2015-11-03,2015,P.U. (A) 259,Printed Documents,Mohd Yusof Cik Wook / Hj. Shaari Bin Hj. Mohd Yusof,Tujuh Likur Enterprise,Local,Litmus Print,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Warisan Ilmu Tok Kenali Kelantan: 7 Petala Langit Dan 7 Petala Bumi,2015-11-03,2015,P.U. (A) 259,Printed Documents,Mohd Yusof Cik Wook / Hj. Shaari Bin Hj. Mohd Yusof,Tujuh Likur Enterprise,Local,Litmus Print,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Warisan Ilmu Tok Kenali Kelantan: Mengenal Allah,2015-11-03,2015,P.U. (A) 259,Printed Documents,Mohd Yusof Cik Wook,Tujuh Likur Enterprise,Local,Bs Print (M) Sdn Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Pusaka Ilmu Tok Kenali Mengenal Allah (Tok Kenali Kelantan),2015-11-03,2015,P.U. (A) 259,Printed Documents,Mohd Yusof Cik Wook,Tujuh Likur Enterprise,Local,Bs Print (M) Sdn Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Pusaka Ilmu Tok Kenali Mengenal Diri (Tok Kenali Kelantan),2015-11-03,2015,P.U. (A) 259,Printed Documents,Mohd Yusof Cik Wook,Tujuh Likur Enterprise,Local,Bs Print (M) Sdn Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Warisan Ilmu Tok Kenali Kelantan: Cahaya Di Atas Cahaya,2015-11-03,2015,P.U. (A) 259,Printed Documents,Mohd Yusof Cik Wook / Hj. Shaari Bin Hj. Mohd Yusof,Tujuh Likur Enterprise,Local,Litmus Print,,Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
"The Teachings Of ""The Quran""",2015-11-26,2015,P.U. (A) 270,Printed Documents,H.U. Weitbrecht Stanton,Discovery Publishing House,Foreign,Tarun Offset Printers,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Menggemparkan Fikiran Orang Ramai,
Baha'ullah And The New Era An Introduction To The Bahai Faith,2015-11-26,2015,P.U. (A) 271,Printed Documents,J.E. Esslemont,Baha'i Publishing,Foreign,Baha'i Publishing Trust Of The United States,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
"Detik-Detik Pembongkaran Agama: Mempopulerkan Agama Kebajikan, Mengagas Pluralisme-Pembebasan",2015-11-26,2015,P.U. (A) 272,Printed Documents,Nur Khalik Ridhwan / Sirsaeba Alafsana,Cv. Arruz Book Gallery Penerbit Naskhah Nusantara,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Jalan Yang Lurus : Kita Harus Meneroka Jalan Ini,2015-11-26,2015,P.U. (A) 273,Printed Documents,Kassim Ahmad,Pekan Ilmu Publications Sdn. Bhd.,Local,Power Press & Design (M) Sdn. Bhd.,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Tabut: Penjelasan Tentang Segala Sesuatu,2015-11-26,2015,P.U. (A) 274,Printed Documents,Abdul Kahar Bin Ahmad Jalal,,Unclear,,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Ajaran Makrifat Syekh Siti Jenar,2016-03-29,2016,P.U. (A) 76,Printed Documents,Abu Fajar Al-Qalami,"Pustaka Media, Surabaya",Foreign,"Pustaka Media, Surabaya","[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Israk Mikraj : Tinjauan Saintifik Di Sebalik Kontroversi,2016-03-29,2016,P.U. (A) 77,Printed Documents,Armansyah / Yusammir Yusuf,Pts Islamika Sdn. Bhd.,Local,Bs Print Sdn. Bhd.,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Orang Ngomong Anjing Gong Gong,2016-04-04,2016,P.U. (A) 88,Printed Documents,Mutalib Uthman,Dubook Press Sdn. Bhd.,Local,Percetakan Mutalib Uthman,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,Satirical
Rasulullah Saw.: Sejak Hijrah Hingga Wafat,2016-04-22,2016,P.U. (A) 109,Printed Documents,Dr. Ali Syariati/Dr. Afif Muhammad,Pustaka Hidayah,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Tafsir Ayat-Ayat Kematian,2016-04-22,2016,P.U. (A) 110,Printed Documents,Muhammad Husain Al-Hasani Al-Husaini Ath-Thabathabai(Alamah Thabathabai) / Irwan Kurniawan,Pustaka Hidayah,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Sinema Spiritual: Dramaturgi Dan Kritikan,2016-04-22,2016,P.U. (A) 108,Printed Documents,Faisal Tehrani,Unit Buku Harakah,Local,Percetakan Maju Jaya,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Malaysia And The Club Of Doom: The Collapse Of The Islamic Countries,2016-06-14,2016,P.U. (A) 170,Printed Documents,Syed Akbar Ali,Syed Akbar Ali,Local,Thirumagal Printers Sdn. Bhd.,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
The Koran : A Very Short Introduction,2016-06-14,2016,P.U. (A) 172,Printed Documents,Micheal Cook,"Oxford University Press Inc.,",Foreign,"Tj International Ltd.,","[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Pergolakan Pemikiran Islam: Catatan Harian Ahmad Wahib,2016-06-14,2016,P.U. (A) 169,Printed Documents,Ahmad Wahib,"Middle-Eastern Graduates Centre Sdn. Bhd. (Megc),",Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Isu Semasa Dalam Risalah: Kahwin Campur Antara Muslim Dengan Non Muslim,2016-07-04,2016,P.U. (A) 191,Printed Documents,,Middle-Eastern Graduates Centre Sdn. Bhd,Local,One Touch Creative,"[""Malay""]",Religious Doctrinal Deviance,Other,,,
Kissing Cousins? Christians And Muslims Face To Face,2016-07-18,2016,P.U. (A) 204,Printed Documents,Bill A. Musk,Monarch Books,Foreign,,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
A Treasury Of Asian Literature,2016-07-18,2016,P.U. (A) 204,Printed Documents,John D. Yohannan,"Meridian (Penguin Group), Penguin Books Usa Inc",Foreign,,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
What Went Wrong? The Clash Between Islam And Modernity In The Middle East,2016-07-18,2016,P.U. (A) 204,Printed Documents,Bernard Lewis,Harper Perennial,Foreign,,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Nomad: From Islam To America A Personal Journey Through The Clash Of Civilizations,2016-07-18,2016,P.U. (A) 207,Printed Documents,Ayaan Hirsi Ali,"Free Press A Division Of Simon & Schuster, Inc",Foreign,,"[""English""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Perimbon Wanita Dan Tafsir Mimpi (Lengkap),2016-07-18,2016,P.U. (A) 203,Printed Documents,Ny. Ninik Happianti,Sandro Jaya Jakarta,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Sejarah Syekh Abdul Wahab Tuan Guru Babussalam,2016-07-18,2016,P.U. (A) 203,Printed Documents,H. Ahmad Fuad Said,Pustaka Rokam Medan,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Kitab Berlian Syahadat,2016-07-18,2016,P.U. (A) 203,Printed Documents,Kh Syeh Muhammad Yusuf Mr,Pusat Kuliah Ma`Rifatullah Penguruan Tinggi Ilmu Rohiniyah Al-Firdaus,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Ibnu Taimiyah: Rekam Jejak Sang Pembaharu,2016-07-18,2016,P.U. (A) 203,Printed Documents,Sha`Ib Abdul Hamid,Penerbit Citra,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Mencontoh Para Wali,2016-07-18,2016,P.U. (A) 202,Printed Documents,M.Z. Hasan Amruhi,Penerbit Al-Huda,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Syi'ar Manifestasi Tuhan Dalam Wanita,2016-07-18,2016,P.U. (A) 202,Printed Documents,,Penerbit Al-Huda,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
1000 Hikmat,2016-07-18,2016,P.U. (A) 208,Printed Documents,Ali Zulkafar,Percetakan Almuarif Sdn. Bhd,Local,Percetakan Almuaraf Sdn Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Sabda Rasulullah S.A.W; Mahdi Aku Ada Dua Tanda,2016-07-18,2016,P.U. (A) 208,Printed Documents,Mohd Zain Bin Hassan,,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Misteri Alam Arwah: Persiapan Menjelang Ajal Dan Kisah-Kisah Mayat,2016-07-18,2016,P.U. (A) 206,Printed Documents,Abu Sulaiman Ad Darani,Jasmin Enterprise,Local,Percetakan Zafar Sdn. Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Senjata Mukmin,2016-07-18,2016,P.U. (A) 208,Printed Documents,Abu Mazaya Al Hafiz,Al-Hidayah Publication,Local,Percetakan Zafar Sdn. Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
The Gospel Of Ali Penghargaan Islam Ata Yesus,2016-12-30,2016,P.U. (A) 398,Printed Documents,Mehdi Montazer Qaem ( Mahdi Muntazhir Qaim) / Satrio Pinandito,Penerbit Citra,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Menggemparkan Fikiran Orang Ramai,
"Tafsir Al-'Usyr Al-Akhir Dari Al-Quran Al-Karim Jus (28,29,30) Disertai Hukum-Hukum Penting Bagi Seorang Muslim",2016-12-30,2016,P.U. (A) 397,Printed Documents,,,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,,,
Bila Anak-Anak Bertanya Tentang Allah Dan Alam Ghaib Inilah 48 Jawapannya...,2016-12-30,2016,P.U. (A) 393,Printed Documents,Muhammad Muhyidin,Rijal Media,Local,Mihas Grafik Sdn. Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Menggemparkan Fikiran Orang Ramai,
Isu Semasa Dalam Risalah: Hukum Barat Pun Islam,2017-03-22,2017,P.U. (A) 81,Printed Documents,Mun`Im A. Sirry/ Al-Mustaqeem Mahmod Radhi,Middle-Eastern Graduates Ceter Sdn. Bhd Dengan Kerjasama Konrad Adenauer Foundation,Local,One Touch Creative,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Isu Semasa Dalam Risalah: Konsep Kebebasan Dan Agama,2017-03-22,2017,P.U. (A) 82,Printed Documents,Al-Mustaqueem Mahmod Radhi,Middle-Eastern Graduates Centre Sdn Bhd Dengan Kerjasama Adenaue Founder,Local,One Touch Creative,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Menuju Reformasi Peruntukan Islam,2017-03-23,2017,P.U. (A) 85,Printed Documents,"Abdullahi Ahmed An-Na`Im / Al-Mustaqeem Mahmod Radhi, Adib Zalkapli, Omarsaid",Middle-Eastern Graduates Center Sdn Bhd,Local,Lian Soon Printing,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Zainab Srikandi Cucu Baginda Muhammad S.A.W,2017-03-23,2017,P.U. (A) 83,Printed Documents,Nurfaridah Rubani,Kharisma Network Sdn Bhd,Local,Percetakan Bumi Restu Sdn. Bhd.,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Humanisme Islam: Kajian Terhadap Pemikiran Filosofis Muhammad Arkoun,2017-07-27,2017,P.U. (A) 218,Printed Documents,Baedhowi M. Ag/ Prof. Dr M. Amin Abdullah,Pustaka Pelajar,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Menggemparkan Fikiran Orang Ramai,
Menanti Buah Hati Dan Hadiah Untuk Yang Dinanti,2017-07-27,2017,P.U. (A) 217,Printed Documents,Abdul Hakim Bin Amir (Abu Unaisah),"Pustaka Mu`Awiyah Bin Abi Sufyan,",Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Kepentingan Awam,
Kisah Para Nabi,2017-07-27,2017,P.U. (A) 206,Printed Documents,Abu Al-Fida` Ismail Bin Katsir / M. Abdul Ghoffar,Pustaka Azzam,Foreign,,"[""Indonesian""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Bid`Ah Menurut Ahli Sunnah Wal-Jamaah (Di Dalam Buku Ini Terjawab Berbagai Persoalan Bid`Ah) Jilid 1,2017-07-27,2017,P.U. (A) 208,Printed Documents,Ust Rasul Bin Dahri,Syarikat Umul Qura Sdn Bhd.,Local,Percetakan Impian Sdn Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Aina Allah? Di Mana Allah,2017-07-27,2017,P.U. (A) 208,Printed Documents,Mohd Hairi Nonchi,Perniagaan Jahabersa,Local,Percetakan Impian Sdn Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Piramid: Rahsia Purba Yang Dapat Anda Manfaatkan,2017-07-27,2017,P.U. (A) 211,Printed Documents,Prof. Dr. Mohd Arief Ph.D,Perguruan Seni Bela Diri Cakra Alam Malaysia,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Menyingkap Misteri Pulau Besar,2017-07-27,2017,P.U. (A) 210,Printed Documents,Ana Faqir,Penerbitan Seribu Dinar Sdn Bhd,Local,Power Press & Design (M) Sdn Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Agama Allah Rahmat Dan Penyelamat Bagi Seluruh Alam,2017-07-27,2017,P.U. (A) 212,Printed Documents,Tuan Abdul Rahim Al Hassaniyah,,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Misteri Merong Maha Wangsa Dan Penyebaran Islam Di Timur ( Part 1) Kisah Khalifah Sharif Yang Di-Pertuan Kedah Dan Legasinya,2017-07-27,2017,P.U. (A) 219,Printed Documents,Megat Al-Jefri,,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Keselamatan,
Kasyaf Al-Haq (Mengenal Allah),2017-07-27,2017,P.U. (A) 212,Printed Documents,Mohd Yusof Cik Wok/ Hj. Shaari Hj. Mohd Yusof,Likur Enterprise,Local,Addy Print,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Fatimah Az Zahara Wanita Solehah Sinaran Zaman,2017-07-27,2017,P.U. (A) 214,Printed Documents,Rosline Harun/ Nurfaridah Rubani,Kharisma Network Sdn Bhd,Local,Percetakan Bumi Restu Sdn. Bhd.,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Kepentingan Awam,
Berdialog Dengan Jin Islam,2017-07-27,2017,P.U. (A) 213,Audio/Recordings,Muhammad Isa Dawud/ Suzilawati Abdullah,Hijjaz Records Publishing,Local,Vinlin Press Sdn Bhd,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
Kisah-Kisah Ghaib Dalam Ahdis Sahih,2017-07-27,2017,P.U. (A) 212,Printed Documents,Prof. Dr. Umar Sulaiman/ Al-Asyqar/ Ruqayyah Mansur/ Arifin Ladari,Berlian Publications Sdn Bhd,Local,Ps Potensi Enterprise,"[""Malay""]",Religious Doctrinal Deviance,Other,"Akta Mesin Cetak Dan Penerbitan, 1984",Ketenteraman Awam,
At-Thariq Ilallah Thariqat Al-Hassaniyyah,2017-07-27,2017,P.U. (A) 212,Printed Documents,Tuan Haji Abdul Rahim Al-Hassaniyyah,An Nisa Publication,Local,,"[""Malay""]",Religious Doctrinal Deviance,Other,,,
