Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
STORY OF SHEUNG NGO'S ESCAPE TO MOON,1951-04-27,1951,L.N. 263,Printed Documents,n/a,EDUCATION PICTORIAL PUB.CO.,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
SEX LOVE BETWEEN ME AND UNCLE,1966-02-24,1966,P.U. 73,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
VIDUTHALAI,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,MALAYAN PEOPLE'S NATIONAL LIBERATION ARMY (PENANG AND KEDAH),Local,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
SCIENTIFIC WORK IN SOVIET UNION,1951-04-27,1951,L.N. 263.,Printed Documents,GENNADI FISH,KUI YIN PUBLISHING CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STORY OF UNDERGROUND WORKER IN CHINA DURING JAPANESE OCCUPATION,1952-06-12,1952,L.N.329,Printed Documents,OH NAN,"SIN HWA BOOK CO., SHANGHAI",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BESIEGED,1966-02-24,1966,P.U. 73,Printed Documents,n/a,CHENG CHUNG PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
VIDUTHALAI MURASU,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,PROPAGANDA SECTION OF INDIAN CENTRAL COMMITTEE M.C.P INDIAN SECTION,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
SECOND WORLD WAR,1951-04-27,1951,L.N. 263.,Printed Documents,TSUI YEN,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STRAY DOG CANNOT EAT UP THE SUN,1951-04-27,1951,L.N. 263,Printed Documents,n/a,TUNG YUNG PUB. CO.,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
SPRING TIME IN TREASURE ISLAND (VOL. I & VOL. II),1966-05-05,1966,P.U. 194,Printed Documents,PI HSIAOSHENG,TAO YUEN CULTURAL PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
WHY NO NATIONALISATION,1951-04-27,1951,L.N. 263.,Printed Documents,B.T. RANADIVE 1948,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
SELECTED ESSAYS ON EDUCATION BY TO HANG CHI,1951-04-27,1951,L.N. 263.,Printed Documents,FONG YU YIM,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DISCOURSE ON METHODS OF THINKING,1952-06-12,1952,L.N.329,Printed Documents,WU SHING,NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
ANGEL IN DREAM,1966-05-05,1966,P.U. 194,Printed Documents,HO HSING,UNIVERSAL PICTORIALS & MAGAZINES PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
WHO RULES PAKISTAN,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"C.P. PUBLICATION,1948, PEOPLE'S PUBLISHING HOUSE LTD.",Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
SELECTED LITERARY WORKS READER,1951-04-27,1951,L.N. 263.,Printed Documents,CHUEN LUN & KOT KAM,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STUDENT NEWS (SINGAPORE),1951-04-27,1951,L.N. 263,Printed Documents,n/a,STUDENT NEWS PRESS,Unclear,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
LUSTFUL DESIRES IN HONGKONG,1966-05-05,1966,P.U. 194,Printed Documents,HO HSING,UNIVERSAL PICTORIALS & MAGAZINES PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
WORLD FEDERATION,1951-04-27,1951,L.N. 263.,Printed Documents,RAJA MAHANDRA PRATAP,n/a,Unclear,n/a,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,,,
SELECTED TRANSLATION FROM BOOKS READ,1951-04-27,1951,L.N. 263.,Printed Documents,TO FAN,THE NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SOWING GRAINS,1952-06-12,1952,L.N.329,Printed Documents,LIU CHING,"NEW CHINA BOOK CO., HONGKONG",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
HAPPINESS & LOVE BETWEEN MEN AND WOMEN,1966-05-05,1966,P.U. 194,Printed Documents,TING PING,CULTURAL BOOK ENTERPRISE CO.,Local,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
A.B.C. OF HISTORIC MATERIALISM,1951-04-27,1951,L.N. 263.,Printed Documents,MOK YIM,NEW CHINA BOOK CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SELECTIONS FROM LENIN,1951-04-27,1951,L.N. 263.,Printed Documents,LENIN,FOREIGN LANGUAGE PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
ELEMENTARY RUSSIAN READER,1952-06-12,1952,L.N.329,Printed Documents,HOR CHING,NEW CHINA PUBLISHING CO,Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
SECRETS OF SEXUAL INTERCOURSE,1966-05-05,1966,P.U. 194,Printed Documents,MISS PAI HUNG,FENG HSING PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
ADVENTURE OF SEA LEOPARD,1951-04-27,1951,L.N. 263.,Printed Documents,LIDA,KWONG MONG PUBLISHING CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SELECTIONS OF PHILOSPHICAL WRITINGS,1951-04-27,1951,L.N. 263.,Printed Documents,NGAI SI KI,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STUDY DIARY,1952-06-12,1952,L.N.329,Printed Documents,n/a,"JOINT PUBLISHING CO., HONGKONG",Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
THE KORAN...,1961-09-21,1961,L.N. 289,Printed Documents,N.J.DAWOOD,THE WHITEFRIARS PRESS LTD. LONDON & TONBRIDGE (TEH PENGUIN CLASSICS),Foreign,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
AESTHETIC CONCEPTION OF MARXISM,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,MAN KWONG BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SEVEN BLOSSOMS,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,EDUCATION PICTORIAL PUB. CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STUDENT'S NEWS,1951-04-27,1951,L.N. 263,Printed Documents,n/a,THE STUDENT'S NEWS SOCIETY,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
PERTEMUAN WAKIL2 PARTAI2 KOMUNIS DAN PARTAI2 BURUH,1961-10-05,1961,L.N. 310,Printed Documents,n/a,JAJASAN PEMBARUAN,Unclear,n/a,"[""Indonesian""]",Subversive ideological and political content,Communism/socialism,,,
AMERICA'S COMING CRISIS,1951-04-27,1951,L.N. 263.,Printed Documents,KIU MUK,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SHORT HISTORY OF INTERNATIONAL RELATIONS OF LAST THIRTY YEARS,1951-04-27,1951,L.N. 263.,Printed Documents,SHU YEN,LIFE BOOK CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
EXPLANATION OF NEW DEMOCRATIC LITERATURE,1952-06-12,1952,L.N.329,Printed Documents,AI CHING,HAI YANG BOOK HONGKONG,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
PUSH THE GREAT WHEEL TO GO FORWARD,1961-11-09,1961,L.N. 341,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
ANALYSIS OF AMERICA'S POSTWAR ECONOMICS,1951-04-27,1951,L.N. 263.,Printed Documents,CHAN YUEN,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SHORT HISTORY OF LITERARY THOUGHT,1951-04-27,1951,L.N. 263.,Printed Documents,TSUI MAU YUNG,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STUDY OF CAPITALISM,1952-06-12,1952,L.N.329,Printed Documents,WONG SZE WA,"SIN TZE, TUK SHWEE AND SANG FAH BOOKSHOPS",Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
THE SONG OF MALAYA,1961-11-09,1961,L.N. 341,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
ANALYSIS OF CAPITALIST ECONOMY,1951-04-27,1951,L.N. 263.,Printed Documents,SHUM CHI YUEN,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STUDY OF UTILISATION NEW PHILOSOPHY,1951-04-27,1951,L.N. 263,Printed Documents,n/a,SAM LUEN BOOKSHOP,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
GO FORWARD! BRETHREN OF MALAYA,1961-11-09,1961,L.N. 341,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
ASPECTS OF CHINA'S ANTI- JAPANESE STRUGGLE,1951-04-27,1951,L.N. 263.,Printed Documents,MAO TSE TUNG,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
EXPRESS OF THE NEW MASSES ERA,1952-06-12,1952,L.N.329,Printed Documents,CHOU YANG,HAI YANG BOOK HONGKONG,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
SING FOR UNITY,1961-11-09,1961,L.N. 341,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
AT THE FOOT OF THE HILL,1951-04-27,1951,L.N. 263.,Printed Documents,TUNG PING,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
QUOTATIONS FROM CHAIRMAN MAO TSE-TUNG,1967-05-25,1967,P.U.231.,Printed Documents,n/a,"FOREIGN LANGUAGE PRESS, PEKING : 1966",Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
TAI POH PROVINCE ADMINISTRATION,1952-06-12,1952,L.N.329,Printed Documents,n/a,GOVERMENT OF TAI POH PREFECTURE,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
REMINISCENCE OF FIRE,1961-12-28,1961,L.N. 398,Printed Documents,HSIA PIN,WEN YI PUBLISHERS,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
ATLAS BOF THE WORLD,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,LIBERATION SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TOUR OF SOUTH EAST EUROPE,1950-07-29,1950,L.N. 331.,Printed Documents,TONG TAT,THE NEW CHINA BOOK CO.,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
FAREWELL TO MALAYA,1952-06-12,1952,L.N.329,Printed Documents,HON MENG,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
"""PERNJATAAN & SERUAN"" ""PERTEMUAN WAKIL2 PARTAI2 KOMUNIS DAN PARTAI2 BURUH""",1961-11-16,1961,L.N. 347,Printed Documents,n/a,JAJASAN PEMBARUAN,Unclear,n/a,"[""Indonesian""]",Subversive ideological and political content,Communism/socialism,,,
BADGES,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
THE POPULAR READER,1950-07-29,1950,L.N. 331.,Printed Documents,CHIA CHING,NEW DEMOCRACY PUBLISHING CO.,Foreign,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
STUDY THE SINO-RUSSIAN PACT,1951-04-27,1951,L.N. 263,Printed Documents,n/a,NEW YOUTH PUBLISHING HOUSE,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
BERITA RINGKAS,1966-05-12,1966,P.U 196,Printed Documents,n/a,PROPAGANDA AND EDUCATIONAL SECTION OF MPSF PERAK DIVISION,Unclear,THE CHINESE LANGUAGE,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
BASIC CHARACTERISTICS OF SOVIET ECONOMIC SYSTEM,1951-04-27,1951,L.N. 263.,Printed Documents,KARPOVSKI,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DISCOURSE ON IDEOLOGY,1950-07-29,1950,L.N. 331.,Printed Documents,KUI CHOI,THE NEW CHINA BOOK CO.,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
TALK ON THE SUBJECT OF WOMEN,1952-06-12,1952,L.N.329,Printed Documents,TOH KUN FEI,NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
"HSUEH HSIH MATERIALS,VOLUME TWO",1966-07-14,1966,P.U. 275,Printed Documents,n/a,PROPAGANDA AND EDUCATIONAL SECTION OF LPM/PRM PERAK DIVISION LIAISON COMMITTEE,Unclear,THE CHINESE LANGUAGE,n/a,General/Unindentified,Administrative/Unclear Ground,,,
BASIC KNOWLEDGE OF LITERATURE,1951-04-27,1951,L.N. 263.,Printed Documents,YEE KWAN,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DISCOURSE ON NEW DEMOCRACY ECONOMICS,1950-07-29,1950,L.N. 331.,Printed Documents,YUE LI TENG,NEW DEMOCRACY PUBLISHING CO.,Foreign,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
TEXT BOOK ON RUSSIAN LECTURES,1952-06-12,1952,L.N.329,Printed Documents,n/a,"PEPOPLE'S BROADCASTING STATION, TIENTSIN",Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
"COMPATRIOTS,COME AND DO RIGHTEOUSNESS",1966-07-14,1966,P.U. 276,Printed Documents,n/a,"LABOUR PARTY OF MALAYA,KAMPAR BRANCH",Unclear,THE CHINESE LANGUAGE,n/a,General/Unindentified,Administrative/Unclear Ground,,,
BASIC PROBLEMS OF CHINESE REVOLUTION,1951-04-27,1951,L.N. 263.,Printed Documents,WONG HUENG SING,KNOWLEDGE BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TALKS ON NEW POLITICS,1950-07-29,1950,L.N. 331.,Printed Documents,TOH NGAI,NEW DEMOCRACY PUBLISHING CO.,Foreign,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
TO HAVE AN INTERVIEW WITH,1952-06-12,1952,L.N.329,Printed Documents,CULTURAL WORKING CELL OF THE POLITICAL DEPT. OF N.W. ARMY DISTRICT,"SIN HWA BOOK STORE, CANTON",Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
"""FIRMLY SUPPORT THE RIGHTEOUS STRUGGLE OF THE WEST COAST FISHERMEN IN THEIR 'NO FISHING' ONE DAY STRIKE''",1966-07-21,1966,P.U.280,Printed Documents,n/a,LABOUR PARTY OF MALAYA AND THE PARTAI RAKYAT,Unclear,THE CHINESE LANGUAGE,n/a,Subversive ideological and political content,Communism/socialism,,,
BATTLE NEWS,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,BATTLE NEWS PRESS,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
GUIDE TO THE STUDY OF POLITICS,1950-07-29,1950,L.N. 331.,Printed Documents,SU HON,NEW DEMOCRACY PUBLISHING CO.,Foreign,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
FASCINATING PALACE,1952-06-12,1952,L.N.329,Printed Documents,WONG KAH YANG,SIN MIN CHU PUBLISHING CO,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
AN EMERGENCY CALL OF A GOOD CITIZEN,1966-09-15,1966,P.U.342,Printed Documents,n/a,"CHOONG NENG HENG,MAMBAU,NEGERI SEMBILAN",Local,THE CHINESE LANGUAGE,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
BATTLEFRONT,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,BATTLEFRONT PUBLICATION LTD.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
MODERN HISTORY OF CHINA (1ST EDITION),1950-07-29,1950,L.N. 331.,Printed Documents,n/a,NEW DEMOCRACY PUBLISHING CO.,Foreign,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
TO INTENSIFY TRAINING,1952-06-12,1952,L.N.329,Printed Documents,n/a,HUNG MIN PUBLISHING CO.,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
CHENDERA MATA 5.1 HARI BUROH SA DUNIA 1966,1966-09-15,1966,P.U. 343,Printed Documents,n/a,"LABOUR PARTY OF MALAYA,MALACCA TOWN BRANCH",Unclear,THE CHINESE LANGUAGE,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
BEACON NEWS,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,BEACON PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STRAY THOUGHTS IN THE SNAIL HALL,1950-07-29,1950,L.N. 331.,Printed Documents,HA HIN,YAN KAN BOOK STORE,Unclear,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
TO STUDY PACT BETWEEN CHINA & USSR,1952-06-12,1952,L.N.329,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CONCERNING THE INTRA PARTY IDEOLOGICAL DISPUTE ON THE TWO DIVERGENT ANTICOLONIAL LINES OF STRUGGLE,1966-09-15,1966,P.U. 343,Printed Documents,n/a,THE KAMPAR DISTRICT LISISON COMMITTE OF THE LABOUR PARTY OF MALAYA PERAK DIVISION,Unclear,THE CHINESE LANGUAGE,n/a,Subversive ideological and political content,Communism/socialism,,,
KIM II SUNG,1970-01-29,1970,P.U (A) 50,Printed Documents,n/a,MIRASHA,Unclear,n/a,"[""English""]",Subversive ideological and political content,Communism/socialism,,,
"SURATAN ""PARTAI RAKYAT MALAYA""",1970-01-29,1970,P.U (A) 51,Printed Documents,DZULKIFLI ISMAIL DAN S. SIVASUBRAMANIAM,n/a,Unclear,n/a,"[""Malay"", ""English"", ""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PARTAI BUROH MALAYA TABONG PERGERAKAN POLITIK,1970-02-12,1970,P.U.(A) 63,Printed Documents,PARTAI BUROH MALAYA,n/a,Unclear,"BAHASA CHINA,BAHASA KEBANGSAAN DAN BAHASA TAMIL","[""Chinese"", ""English"", ""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
PARTAI BUROH MALAYA TABONG PERGERAKAN POLITIK,1970-02-12,1970,P.U (A) 63,Printed Documents,PARTAI BUROH MALAYA,n/a,Unclear,n/a,"[""Malay"", ""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
JUVENILE LEAD,1970-02-27,1970,P.U.60,Printed Documents,PEARSON GROVES,BRANDON HOUSE,Foreign,THE ENGLISH LANGUAGE,"[""English""]",Subversive ideological and political content,Communism/socialism,,,
"""BENDERA BENTENG SUARA DAN BICHARA PARTAI RAKYAT MALAYA (UNTUK ANGGOTA SAJA)'",1970-03-19,1970,P.U (A) 93,Printed Documents,n/a,n/a,Unclear,n/a,"[""Malay""]",Subversive ideological and political content,Communism/socialism,,,
HAPPINESS IS A WARM GUN,1970-04-02,1970,P.U.(A) 111,Printed Documents,n/a,n/a,Unclear,THE ENGLISH LANGUAGE,n/a,Subversive ideological and political content,Communism/socialism,,,
PUFF THE MAGIC DRAGON,1970-04-02,1970,P.U.(A) 111,Printed Documents,n/a,n/a,Unclear,THE ENGLISH LANGUAGE,n/a,Subversive ideological and political content,Communism/socialism,,,
HARGA PADI TELAH TURUN SEMULA,1970-04-02,1970,P.U. (A) 110,Printed Documents,n/a,SHARIKAT PENERBITAN PÚ-CHI,Local,PERCHETAKAN JENSEN,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
LAGU,1970-04-02,1970,P.U. ( A) 111,Printed Documents,n/a,n/a,Unclear,n/a,"[""English""]",Subversive ideological and political content,Communism/socialism,,,
LAGU,1970-04-02,1970,P.U. (A) 111,Printed Documents,n/a,n/a,Unclear,n/a,"[""English""]",Subversive ideological and political content,Communism/socialism,,,
"SURATAN2 YANG MENGANDONGI SHAER2 DAN MUZIK DALAM LAGU LAGU YANG TAJOK-NYA IALAH: 1. NYANYIAN LATEHAN ASKAR2, 2. SATU BUNGKUSAN HADIAH UNTOK MELAHIRKAN PENGHARGAAN, 3. LATEHAN BAYONET2",1970-04-16,1970,P.U (A) 125,Audio/Recordings,n/a,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
"** "" PERUTUSAN KHAS HARI RAYA HAJI"" YANG DI-CHETAK DALAM BAHASA MALAYSIA YANG DI-MULAI DENGAN PERKATAAN2 "" KPD MANUSIA2 YANG MASEH BERUGAMA TERUTAMA MEREKA YANG MASEH ISLAM"" DAN DI-AKHIRI DENGAN PERK",1970-05-14,1970,P.U (A) 168,Printed Documents,n/a,n/a,Unclear,n/a,"[""Malay""]",Subversive ideological and political content,Communism/socialism,,,
** TIBA DI-SHAO-SHAN,1970-05-14,1970,P.U (A) 166,Printed Documents,"MAO TZE-TUNG (JUN, 1959)",n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
NAIK GAJI,1970-05-14,1970,P.U (A) 167,Printed Documents,n/a,SHARIKAT PENERBIT PÚ-CHI,Local,PERCHETAKA JENSEN,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SOME HAVE TOO MUCH,1970-05-21,1970,P.U.(A) 176,Printed Documents,MARCUS VAN HELLER,THE OPHELIA PRESS INC,Foreign,THE ENGLISH LANGUAGE,n/a,Obscene / immoral publications,Pornography,,,
BLUE MOVIE,1970-05-21,1970,P.U.(A) 176,Printed Documents,MICHAEL PERKINS,ESSEX HOUSE CAL,Foreign,THE ENGLISH LANGUAGE,"[""English""]",Obscene / immoral publications,Pornography,,,
HOT SUMMER,1970-05-21,1970,P.U.(A) 176,Printed Documents,n/a,n/a,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
ROMANCE OF LUST OR EARLY EXPERIENCE,1970-05-21,1970,P.U.(A) 176,Printed Documents,n/a,GROVE PRESS INC,Foreign,n/a,n/a,Obscene / immoral publications,Erotic/immoral content,,,
